,SalePrice,SqFtTotLiving,ZipCode
2627,384000,852.0,98070
2630,1016000,2460.0,98052
2632,950000,2320.0,98052
2633,1100000,3910.0,98052
2639,1050000,2960.0,98052
2642,480000,910.0,98052
2644,475000,870.0,98052
2645,515000,800.0,98052
2652,885000,2100.0,98122
2653,1248000,2670.0,98122
2658,476000,1220.0,98056
2663,560000,2150.0,98055
2668,1200000,2270.0,98040
2669,319000,1480.0,98022
2671,310000,1260.0,98022
2672,329500,2100.0,98022
2677,772000,1540.0,98144
2686,740000,2110.0,98122
2690,955000,3480.0,98178
2691,1600000,2330.0,98116
2693,3425000,4900.0,98004
2696,1545000,4650.0,98006
2697,466000,2520.0,98198
2720,1065000,2290.0,98115
2722,1611020,3480.0,98115
2724,800000,2090.0,98006
2727,638000,1700.0,98146
2728,600000,1470.0,98146
2730,485000,950.0,98133
2731,462500,1040.0,98133
2739,755000,1810.0,98034
2740,525000,1140.0,98034
2741,676000,1920.0,98034
2743,625000,1140.0,98034
2749,305000,1130.0,98023
2751,365000,1130.0,98023
2753,535000,1170.0,98133
2754,443500,1580.0,98178
2756,390000,1090.0,98178
2760,390000,1650.0,98178
2761,440000,1590.0,98118
2762,550000,1120.0,98133
2766,550000,1320.0,98133
2771,570000,1410.0,98155
2772,528950,1410.0,98155
2773,499950,1410.0,98155
2774,499950,1410.0,98155
2776,566000,1410.0,98133
2777,547000,1280.0,98133
2779,485000,1300.0,98133
2780,484000,1060.0,98133
2782,542500,1050.0,98133
2783,725000,1820.0,98133
2788,330000,820.0,98056
2789,299000,740.0,98056
2790,334950,600.0,98056
2791,320000,740.0,98056
2799,820000,2880.0,98022
2804,425000,2070.0,98022
2805,328000,700.0,98056
2806,376500,1440.0,98056
2807,200000,900.0,98056
2813,309000,700.0,98056
2814,382800,1570.0,98056
2815,410000,1090.0,98056
2832,315000,1220.0,98003
2849,755000,2170.0,98010
2850,144786,1060.0,98010
2852,600000,3110.0,98010
2856,555000,2460.0,98051
2860,579950,2290.0,98051
2862,515000,1330.0,98051
2865,620000,2850.0,98051
2867,350000,960.0,98056
2868,375000,1610.0,98056
2875,500000,1290.0,98070
2892,549950,1730.0,98038
2894,599950,1610.0,98038
2895,799950,2850.0,98038
2898,351000,1030.0,98056
2902,340000,960.0,98056
2906,400000,1940.0,98168
2909,820000,4160.0,98168
2910,820000,520.0,98168
2911,645000,3090.0,98056
2912,799950,3040.0,98059
2913,332000,770.0,98059
2917,472000,1280.0,98056
2919,461000,1240.0,98056
2921,420000,1150.0,98056
2923,575000,1300.0,98056
2924,575000,1300.0,98056
2926,515000,3280.0,98056
2927,732500,790.0,98056
2928,732500,1400.0,98056
2929,430000,1070.0,98056
2930,451000,1440.0,98056
2931,508000,1200.0,98059
2939,750000,2910.0,98056
2948,1612500,3390.0,98144
2953,734500,1680.0,98075
2958,1012350,2940.0,98075
2966,1340000,3820.0,98075
2968,1195000,3450.0,98075
2978,350000,1710.0,98056
2979,345000,1020.0,98056
2980,339000,830.0,98056
2981,400000,1080.0,98056
2983,385000,1230.0,98056
2984,352000,1250.0,98056
2985,440000,1070.0,98056
2988,750000,1780.0,98115
2992,835000,2160.0,98115
2993,566500,1070.0,98115
3004,823500,2030.0,98033
3009,899999,1290.0,98053
3015,980000,2720.0,98053
3018,957550,3290.0,98053
3019,899000,2410.0,98053
3026,425000,1020.0,98056
3027,380000,1300.0,98056
3029,385000,1020.0,98056
3030,397500,1020.0,98056
3031,366700,1320.0,98056
3032,412500,2280.0,98056
3033,450000,1160.0,98056
3034,332000,1700.0,98056
3039,440000,1880.0,98056
3043,830000,3230.0,98072
3046,2000000,6420.0,98077
3047,1075000,3160.0,98077
3048,1475000,4130.0,98077
3052,1240000,4020.0,98077
3053,1396000,4430.0,98077
3057,425000,960.0,98056
3058,429000,1280.0,98056
3059,437500,990.0,98056
3061,437500,1290.0,98056
3065,824000,3500.0,98115
3066,735000,1450.0,98115
3067,726500,1220.0,98115
3073,804000,1590.0,98115
3074,826600,1750.0,98115
3075,1040000,2000.0,98115
3077,805000,1140.0,98115
3078,620000,1020.0,98115
3086,750000,2680.0,98115
3088,940000,1530.0,98115
3094,820000,1590.0,98115
3096,775000,1360.0,98115
3097,925000,1640.0,98115
3098,614500,1160.0,98115
3130,728000,1270.0,98107
3131,725000,1350.0,98107
